Date,Open,High,Low,Close,Adj Close,Volume
2012-07-17,135.970001,136.639999,134.550003,136.360001,114.436729,138860300
2012-07-18,136.039993,137.639999,135.960007,137.369995,115.284386,113349700
2012-07-19,137.649994,138.179993,137.210007,137.729996,115.586487,129847300
2012-07-20,136.949997,137.160004,136.320007,136.470001,114.529068,142904500
2012-07-23,134.470001,136.380005,133.839996,135.089996,113.370911,145210900
2012-07-24,135.190002,135.250000,133.029999,133.929993,112.397461,173301200
2012-07-25,134.210007,134.559998,133.250000,133.960007,112.422623,129122300
2012-07-26,135.889999,136.460007,135.259995,136.169998,114.277290,156526500
2012-07-27,136.889999,139.070007,136.139999,138.679993,116.383774,236768900
2012-07-30,138.520004,139.339996,138.270004,138.679993,116.383774,106782000
2012-07-31,138.490005,138.869995,137.710007,137.710007,115.569679,120575900
2012-08-01,138.699997,138.729996,137.399994,137.589996,115.468979,138293800
2012-08-02,136.550003,137.570007,135.580002,136.639999,114.671700,199556600
2012-08-03,138.559998,139.639999,136.679993,139.350006,116.946045,157825000
2012-08-06,139.720001,140.169998,139.559998,139.619995,117.172600,86326200
2012-08-07,140.179993,140.919998,140.029999,140.320007,117.760086,109545100
2012-08-08,139.850006,140.649994,139.809998,140.490005,117.902763,89754700
2012-08-09,140.289993,140.889999,140.149994,140.610001,118.003426,90291700
2012-08-10,140.039993,140.889999,139.809998,140.839996,118.196487,99792700
2012-08-13,140.600006,140.839996,140.039993,140.770004,118.137741,79426900
2012-08-14,141.289993,141.380005,140.369995,140.789993,118.154495,102379400
2012-08-15,140.639999,141.190002,140.550003,140.949997,118.288818,71085900
2012-08-16,141.149994,142.160004,140.800003,141.990005,119.161591,112014200
2012-08-17,142.229996,142.300003,141.860001,142.179993,119.321053,90813700
2012-08-20,141.979996,142.220001,141.589996,142.190002,119.329437,78255700
2012-08-21,142.539993,143.089996,141.449997,141.759995,118.968536,105581100
2012-08-22,141.399994,142.050003,141.070007,141.820007,119.018974,133243500
2012-08-23,141.470001,141.479996,140.440002,140.660004,118.045433,111466400
2012-08-24,140.309998,141.830002,140.220001,141.509995,118.758759,99481200
2012-08-27,141.889999,142.080002,141.339996,141.539993,118.783920,68785900
2012-08-28,141.179993,141.839996,140.970001,141.399994,118.666428,75689600
2012-08-29,141.520004,141.889999,141.119995,141.509995,118.758759,65421300
2012-08-30,140.899994,140.940002,140.190002,140.490005,117.902763,96589900
2012-08-31,141.289993,141.820007,140.360001,141.160004,118.464989,151970400
2012-09-04,141.039993,141.460007,140.130005,141.029999,118.355911,120226200
2012-09-05,141.089996,141.470001,140.630005,140.910004,118.255264,100660300
2012-09-06,141.759995,143.779999,141.750000,143.770004,120.655411,158272500
2012-09-07,144.009995,144.389999,143.880005,144.330002,121.125351,107272100
2012-09-10,144.190002,144.440002,143.460007,143.509995,120.437225,86458500
2012-09-11,143.600006,144.369995,143.559998,143.910004,120.772926,88760000
2012-09-12,144.389999,144.550003,143.899994,144.389999,121.175751,87640900
2012-09-13,144.369995,147.039993,143.990005,146.589996,123.021996,225470200
2012-09-14,146.880005,148.110001,146.759995,147.240005,123.567558,169777000
2012-09-17,146.940002,147.190002,146.369995,146.740005,123.147896,119427800
2012-09-18,146.490005,146.809998,146.250000,146.619995,123.047195,98326600
2012-09-19,146.789993,147.169998,146.410004,146.699997,123.114342,128318300
2012-09-20,146.029999,146.789993,145.630005,146.710007,123.122765,154009800
2012-09-21,146.639999,146.669998,145.809998,145.869995,123.071251,108737500
2012-09-24,145.149994,145.979996,145.039993,145.649994,122.885674,95682000
2012-09-25,145.960007,146.240005,144.059998,144.100006,121.577911,133165200
2012-09-26,144.070007,144.110001,142.949997,143.289993,120.894501,146502200
2012-09-27,143.889999,144.970001,143.509995,144.639999,122.033485,111830300
2012-09-28,144.089996,144.559998,143.460007,143.970001,121.468246,150696100
2012-10-01,144.520004,145.690002,144.009995,144.350006,121.788849,135911200
2012-10-02,144.919998,145.149994,143.830002,144.500000,121.915375,113422200
2012-10-03,144.889999,145.429993,144.130005,145.089996,122.413185,121283100
2012-10-04,145.639999,146.339996,145.440002,146.130005,123.290627,124311600
2012-10-05,146.910004,147.160004,145.699997,146.139999,123.299072,124842100
2012-10-08,145.600006,146.119995,145.309998,145.639999,122.877258,78415400
2012-10-09,145.529999,145.649994,144.149994,144.199997,121.662300,148872900
2012-10-10,144.179993,144.320007,143.089996,143.279999,120.886063,124247500
2012-10-11,144.279999,144.490005,143.330002,143.360001,120.953568,123601500
2012-10-12,143.460007,143.949997,142.580002,142.889999,120.557030,124181900
2012-10-15,143.229996,144.229996,142.770004,144.080002,121.561028,107689100
2012-10-16,144.759995,145.639999,144.660004,145.539993,122.792824,108815500
2012-10-17,145.639999,146.320007,145.419998,146.199997,123.349709,128834100
2012-10-18,145.820007,146.520004,145.330002,145.820007,123.029091,148108500
2012-10-19,145.550003,145.559998,143.050003,143.389999,120.978836,185645200
2012-10-22,143.149994,143.669998,142.279999,143.410004,120.995781,125578600
2012-10-23,141.860001,142.059998,140.830002,141.419998,119.316795,192056300
2012-10-24,141.929993,142.100006,140.800003,141.020004,118.979271,120179400
2012-10-25,142.020004,142.279999,140.570007,141.429993,119.325233,134457400
2012-10-26,141.300003,141.839996,140.389999,141.350006,119.257706,146023500
2012-10-31,141.850006,142.029999,140.679993,141.350006,119.257706,103438500
2012-11-01,141.649994,143.009995,141.520004,142.830002,120.506386,100995600
2012-11-02,143.679993,143.720001,141.410004,141.559998,119.434906,137702200
2012-11-05,141.350006,142.169998,140.929993,141.850006,119.679565,98378500
2012-11-06,142.279999,143.520004,142.130005,142.960007,120.616096,107068100
2012-11-07,141.660004,141.679993,139.059998,139.720001,117.882507,264304500
2012-11-08,139.699997,140.410004,137.929993,138.039993,116.465073,181517300
2012-11-09,137.619995,139.440002,137.550003,138.160004,116.566315,201055300
2012-11-12,138.589996,138.809998,137.960007,138.270004,116.659111,97677500
2012-11-13,137.539993,139.250000,137.360001,137.789993,116.254120,123018300
2012-11-14,138.210007,138.429993,135.619995,135.929993,114.684814,191505000
2012-11-15,135.979996,136.490005,135.179993,135.699997,114.490791,178128400
2012-11-16,135.899994,136.639999,134.699997,136.369995,115.056091,239483900
2012-11-19,137.899994,139.149994,136.410004,139.130005,117.384712,151495800
2012-11-20,138.910004,139.419998,138.080002,139.190002,117.435310,119807400
2012-11-21,139.309998,139.570007,139.029999,139.449997,117.654663,81710800
2012-11-23,140.130005,141.399994,140.039993,141.350006,119.257706,65409200
2012-11-26,140.649994,141.360001,140.190002,141.050003,119.004631,100124400
2012-11-27,140.910004,141.389999,140.240005,140.330002,118.397171,128646200
2012-11-28,139.759995,141.539993,139.000000,141.460007,119.350525,177086500
2012-11-29,141.990005,142.509995,141.369995,142.119995,119.907364,151085900
2012-11-30,142.139999,142.419998,141.660004,142.149994,119.932678,136568300
2012-12-03,142.800003,142.919998,141.339996,141.449997,119.342079,124656300
2012-12-04,141.440002,141.869995,140.869995,141.250000,119.173355,127512200
2012-12-05,141.369995,142.160004,140.369995,141.500000,119.384300,147300500
2012-12-06,141.369995,142.039993,141.160004,141.979996,119.789261,103220600
2012-12-07,142.529999,142.690002,141.669998,142.410004,120.152039,108726400
2012-12-10,142.210007,142.809998,142.149994,142.470001,120.202721,98840700
2012-12-11,143.059998,144.110001,142.990005,143.440002,121.021042,152570400
2012-12-12,144.000000,144.550003,143.309998,143.509995,121.080124,145880100
2012-12-13,143.419998,143.830002,142.270004,142.630005,120.337654,135715000
2012-12-14,142.320007,142.580002,141.880005,142.100006,119.890511,137701700
2012-12-17,142.470001,143.850006,142.429993,143.770004,121.299500,143238200
2012-12-18,144.000000,145.500000,143.789993,145.369995,122.649399,177762800
2012-12-19,145.529999,145.580002,144.240005,144.289993,121.738197,150895400
2012-12-20,144.380005,145.139999,143.979996,145.119995,122.438484,168487000
2012-12-21,142.169998,144.089996,141.940002,142.789993,121.327080,245883800
2012-12-24,142.479996,142.559998,142.190002,142.350006,120.953247,53874600
2012-12-26,142.639999,142.710007,141.350006,141.750000,120.443474,106947700
2012-12-27,141.789993,142.080002,139.919998,141.559998,120.281998,167920600
2012-12-28,140.639999,141.419998,139.869995,140.029999,118.981956,148806700
2012-12-31,139.660004,142.559998,139.539993,142.410004,121.004211,243935200
2013-01-02,145.110001,146.149994,144.729996,146.059998,124.105568,192059000
2013-01-03,145.990005,146.369995,145.339996,145.729996,123.825172,144761800
2013-01-04,145.970001,146.610001,145.669998,146.369995,124.368942,116817700
2013-01-07,145.850006,146.110001,145.429993,145.970001,124.029137,110002500
2013-01-08,145.710007,145.910004,144.979996,145.550003,123.672272,121265100
2013-01-09,145.869995,146.320007,145.639999,145.919998,123.986610,90745600
2013-01-10,146.729996,147.089996,145.970001,147.080002,124.972267,130735400
2013-01-11,147.039993,147.149994,146.610001,147.070007,124.963806,113917300
2013-01-14,146.889999,147.070007,146.429993,146.970001,124.878807,89567200
2013-01-15,146.289993,147.210007,146.199997,147.070007,124.963806,93172600
2013-01-16,146.770004,147.279999,146.610001,147.050003,124.946785,104849500
2013-01-17,147.699997,148.419998,147.149994,148.000000,125.753952,133833500
2013-01-18,147.970001,148.490005,147.429993,148.330002,126.034378,169906000
2013-01-22,148.330002,149.130005,147.979996,149.130005,126.714111,111797300
2013-01-23,149.130005,149.500000,148.860001,149.369995,126.918022,104596100
2013-01-24,149.149994,150.139999,149.009995,149.410004,126.952026,146426400
2013-01-25,149.880005,150.250000,149.369995,150.250000,127.665840,147211600
2013-01-28,150.289993,150.330002,149.509995,150.070007,127.512794,113357700
2013-01-29,149.770004,150.850006,149.669998,150.660004,128.014114,105694400
2013-01-30,150.639999,150.940002,149.929993,150.070007,127.512794,137447700
2013-01-31,149.889999,150.380005,149.600006,149.699997,127.198479,108975800
2013-02-01,150.649994,151.419998,150.389999,151.240005,128.507004,131173000
2013-02-04,150.320007,151.270004,149.429993,149.539993,127.062469,159073600
2013-02-05,150.350006,151.479996,150.289993,151.050003,128.345566,113912400
2013-02-06,150.520004,151.259995,150.410004,151.160004,128.439011,138762800
2013-02-07,151.210007,151.350006,149.860001,150.960007,128.269058,162490000
2013-02-08,151.220001,151.889999,151.220001,151.800003,128.982803,103133700
2013-02-11,151.740005,151.899994,151.389999,151.770004,128.957306,73775000
2013-02-12,151.779999,152.300003,151.610001,152.020004,129.169739,65392700
2013-02-13,152.330002,152.610001,151.720001,152.149994,129.280197,82322600
2013-02-14,151.690002,152.470001,151.520004,152.289993,129.399170,80834300
2013-02-15,152.429993,152.589996,151.550003,152.110001,129.246185,215226500
2013-02-19,152.369995,153.279999,152.160004,153.250000,130.214859,95105400
2013-02-20,153.139999,153.190002,151.259995,151.339996,128.591904,160574800
2013-02-21,150.960007,151.419998,149.940002,150.419998,127.810219,183257000
2013-02-22,151.149994,151.889999,150.490005,151.889999,129.059250,106356600
2013-02-25,152.630005,152.860001,149.000000,149.000000,126.603683,245824800
2013-02-26,149.720001,150.199997,148.729996,150.020004,127.470322,186596200
2013-02-27,149.889999,152.330002,149.759995,151.910004,129.076263,150781900
2013-02-28,151.899994,152.869995,151.410004,151.610001,128.821304,126866000
2013-03-01,151.089996,152.339996,150.410004,152.110001,129.246185,170634800
2013-03-04,151.759995,152.919998,151.520004,152.919998,129.934464,99010200
2013-03-05,153.660004,154.699997,153.639999,154.289993,131.098541,121431900
2013-03-06,154.839996,154.919998,154.160004,154.500000,131.276978,94469900
2013-03-07,154.699997,154.979996,154.520004,154.779999,131.514893,86101400
2013-03-08,155.460007,155.649994,154.660004,155.440002,132.075684,123477800
2013-03-11,155.320007,156.039993,155.130005,156.029999,132.576965,83746800
2013-03-12,155.919998,156.100006,155.210007,155.679993,132.279587,105755800
2013-03-13,155.759995,156.119995,155.229996,155.899994,132.466522,92550900
2013-03-14,156.309998,156.800003,155.910004,156.729996,133.171738,126329900
2013-03-15,155.850006,156.039993,155.309998,155.830002,132.995926,138601100
2013-03-18,154.339996,155.639999,154.199997,154.970001,132.261948,126704300
2013-03-19,155.300003,155.509995,153.589996,154.610001,131.954651,167567300
2013-03-20,155.520004,155.949997,155.259995,155.690002,132.876480,113759300
2013-03-21,154.759995,155.639999,154.100006,154.360001,131.741394,128605000
2013-03-22,154.850006,155.600006,154.729996,155.600006,132.799637,111163600
2013-03-25,156.009995,156.270004,154.350006,154.949997,132.244888,151322300
2013-03-26,155.589996,156.229996,155.419998,156.190002,133.303223,86856600
2013-03-27,155.259995,156.240005,155.000000,156.190002,133.303223,99950600
2013-03-28,156.089996,156.850006,155.750000,156.669998,133.712875,102932800
2013-04-01,156.589996,156.910004,155.669998,156.050003,133.183746,99194100
2013-04-02,156.610001,157.210007,156.369995,156.820007,133.840897,101504300
2013-04-03,156.910004,157.029999,154.820007,155.229996,132.483841,154167400
2013-04-04,155.429993,156.169998,155.089996,155.860001,133.021561,131885000
2013-04-05,153.949997,155.350006,153.770004,155.160004,132.424118,159666000
2013-04-08,155.270004,156.220001,154.750000,156.210007,133.320328,86571200
2013-04-09,156.500000,157.320007,155.979996,156.750000,133.781128,101922200
2013-04-10,157.169998,158.869995,157.130005,158.669998,135.419815,135711100
2013-04-11,158.699997,159.710007,158.539993,159.190002,135.863571,110142500
2013-04-12,158.679993,159.039993,157.919998,158.800003,135.530701,116359900
2013-04-15,158.000000,158.130005,155.100006,155.119995,132.389969,217259000
2013-04-16,156.289993,157.490005,155.910004,157.410004,134.344391,147507800
2013-04-17,156.289993,156.320007,154.279999,155.110001,132.381531,226834800
2013-04-18,155.369995,155.410004,153.550003,154.139999,131.553558,167583200
2013-04-19,154.500000,155.550003,154.119995,155.479996,132.697205,149687600
2013-04-22,155.779999,156.539993,154.750000,156.169998,133.286148,106553500
2013-04-23,156.949997,157.929993,156.169998,157.779999,134.660172,166141300
2013-04-24,157.830002,158.300003,157.539993,157.880005,134.745590,96781200
2013-04-25,158.339996,159.270004,158.100006,158.520004,135.291779,131060600
2013-04-26,158.330002,158.600006,157.729996,158.240005,135.052795,95918800
2013-04-29,158.669998,159.649994,158.419998,159.300003,135.957474,88572800
2013-04-30,159.270004,159.720001,158.610001,159.679993,136.281784,116010700
2013-05-01,159.330002,159.410004,158.100006,158.279999,135.086945,138874200
2013-05-02,158.679993,159.889999,158.529999,159.750000,136.341568,96407600
2013-05-03,161.139999,161.880005,159.779999,161.369995,137.724152,144202300
2013-05-06,161.490005,162.009995,161.419998,161.779999,138.074081,66882100
2013-05-07,162.130005,162.649994,161.669998,162.600006,138.773911,90359200
2013-05-08,162.419998,163.389999,162.330002,163.339996,139.405502,97419200
2013-05-09,163.270004,163.699997,162.470001,162.880005,139.012909,106738600
2013-05-10,162.990005,163.550003,162.509995,163.410004,139.465225,103203000
2013-05-13,163.199997,163.809998,162.820007,163.539993,139.576126,81843200
2013-05-14,163.669998,165.350006,163.669998,165.229996,141.018555,119000900
